,Retorno_alvo,Sinal
2016-05-17,0.0398706909982496,1
2016-05-18,0.040760891088175405,1
2016-05-19,0.027419569275894503,1
2016-05-20,0.043149784949174694,1
2016-05-23,0.0455531167633132,1
2016-05-24,0.0433387982213658,1
2016-05-25,0.0231825274931332,1
2016-06-01,-0.0320579189196366,-1
2016-06-02,-0.019190754871193302,-1
2016-06-03,-0.0476922306744367,-1
2016-06-06,-0.048403579260586395,-1
2016-06-07,-0.022001303988324897,-1
2016-06-08,-0.0342502515249657,-1
2016-06-15,0.0,1
2016-06-16,0.00214259743273648,1
2016-06-17,0.00752261439455371,1
2016-06-20,0.0231306844129648,1
2016-06-21,0.025295795220762002,1
2016-06-22,0.0491265718691651,1
2016-06-23,0.029713437817629803,1
2016-06-30,0.018372799346308998,-1
2016-07-01,0.0109367784183345,-1
2016-07-04,0.0088591949989596,-1
2016-07-05,-0.0031695093916052097,-1
2016-07-06,-0.0053261375007152,-1
2016-07-07,0.00463781069852698,-1
2016-07-08,-0.0051893647118193,-1
2016-07-15,0.0211079746626701,1
2016-07-18,0.0136410644472709,1
2016-07-19,0.0140843736736418,1
2016-07-20,-0.0167362427793528,1
2016-07-21,-0.0104165681835834,1
2016-07-22,-0.02836527915916,1
2016-08-01,0.008947282938835949,-1
2016-08-02,0.035031881896938,-1
2016-08-03,0.0584764597588732,-1
2016-08-04,0.0651709953140545,-1
2016-08-05,0.047120386410663496,-1
2016-08-15,-0.0180541626608339,1
2016-08-16,-0.034500013700466,1
2016-08-17,-0.0428927063489859,1
2016-08-18,-0.0341366787909129,1
2016-08-19,-0.030730532385709802,1
2016-08-29,0.039501142168391096,-1
2016-08-30,0.026507144262540597,-1
2016-08-31,0.0291817075058065,-1
2016-09-01,-0.012709474626609001,-1
2016-09-02,-0.0090726692577604,-1
2016-09-05,-0.00754520055375385,-1
2016-09-12,-0.0146835231264413,1
2016-09-13,0.0128730847708705,1
2016-09-14,0.00356072966089793,1
2016-09-15,-0.00557515494386451,1
2016-09-16,0.0138957865089311,1
2016-09-19,0.0205654728274287,1
2016-09-20,0.011800928752675199,1
2016-09-27,-0.0025376976164804797,-1
2016-09-28,-0.010075470529624899,-1
2016-09-29,-0.0020283199253901,-1
2016-09-30,-0.018667778841132,-1
2016-10-03,-0.026328983678892103,-1
2016-10-04,-0.000511706995269257,-1
2016-10-11,0.0154238978801606,1
2016-10-13,0.0244407454652007,1
2016-10-14,0.0,1
2016-10-17,-0.00102242636160166,1
2016-10-18,-0.0076337480139327995,1
2016-10-19,-0.0294715527246724,1
2016-10-26,-0.0714346022820145,-1
2016-10-27,-0.0659090656014588,-1
2016-10-28,-0.0532117078100188,-1
2016-10-31,-0.033208304245095105,-1
2016-11-01,-0.048008701838607,-1
2016-11-03,-0.0335196447969718,-1
2016-11-10,-0.0487533092184037,1
2016-11-11,0.0108881322146288,1
2016-11-14,0.00289028036147498,1
2016-11-16,-0.0336511167823829,1
2016-11-17,-0.003973162710442121,1
2016-11-18,-0.015011577039020601,1
2016-11-25,-0.0278584244070572,-1
2016-11-28,-0.0518518297352695,-1
2016-11-29,-0.0351699561824491,-1
2016-11-30,-0.0297375843101352,-1
2016-12-01,-0.0312687149756177,-1
2016-12-02,-0.0251344895817527,-1
2016-12-12,0.014276807966825001,1
2016-12-13,-0.015598444917591402,1
2016-12-14,0.0036115023325256103,1
2016-12-15,0.00495218785438389,1
2016-12-16,-0.0209914311657746,1
2016-12-26,0.025957878968294202,-1
2016-12-27,0.021725430746614597,-1
2016-12-28,0.0184844607543193,-1
2016-12-29,-0.0036585431034637,-1
2017-01-09,0.0441619650727341,1
2017-01-10,0.0587514287190005,1
2017-01-11,0.0572823253147938,1
2017-01-12,0.024217174290174,1
2017-01-13,0.015202912834724,1
2017-01-16,0.0193643979682194,1
2017-01-23,-0.006369357814694499,-1
2017-01-24,0.0028901242335481704,-1
2017-01-26,-0.0138649955288183,-1
2017-01-27,-0.0173208530446133,-1
2017-01-30,-0.0005891728976773479,-1
2017-01-31,-0.018023312941721503,-1
2017-02-07,0.055816458213429294,1
2017-02-08,0.055424404408368,1
2017-02-09,0.0562463379176432,1
2017-02-10,0.054258952842800995,1
2017-02-13,0.059710353572170395,1
2017-02-14,0.0431531563440826,1
2017-02-21,-0.0453791282421174,-1
2017-02-22,-0.07986884690231301,-1
2017-02-23,-0.055708784534319405,-1
2017-02-24,-0.030269069901132803,-1
2017-03-01,-0.034059083798234704,-1
2017-03-08,0.0052567499390197,1
2017-03-09,0.0196531941494911,1
2017-03-10,0.00693644049292308,1
